timestamp;xH;yH;zH;xL;yL;zL;temp;vibr;
596;1834;1825;1823;36;-8;256;555
601;1827;1825;1835;40;-4;254;556
606;1828;1826;1822;36;-6;256;557
611;1827;1824;1822;34;0;256;554
616;1826;1827;1822;40;-8;248;560
621;1826;1825;1822;40;-6;254;556
626;1826;1823;1810;36;-10;258;556
631;1826;1825;1821;40;-6;254;556
636;1826;1823;1821;40;-12;252;555
641;1827;1826;1821;38;-6;256;557
646;1825;1825;1822;40;0;252;558
651;1826;1825;1813;36;-6;256;558
656;1827;1826;1822;38;-8;254;556
661;1828;1825;1823;40;-12;250;557
666;1828;1825;1822;36;-6;258;557
671;1824;1824;1823;40;-6;254;558
676;1826;1827;1822;40;-6;252;556
681;1830;1827;1823;38;0;252;559
686;1827;1824;1823;40;-10;254;557
691;1825;1825;1822;44;-4;252;557
704;1827;1824;1808;36;-8;252;558
711;1826;1872;1822;38;-4;252;557
716;1827;1825;1824;40;-4;254;557
721;1829;1826;1822;36;-2;256;559
726;1825;1826;1823;38;0;248;557
731;1828;1824;1824;36;-8;254;555
736;1827;1824;1822;38;-8;254;557
741;1826;1823;1823;38;-8;256;558
746;1817;1825;1823;38;-6;256;558
751;1828;1847;1823;42;-4;256;558
756;1827;1825;1826;40;-8;254;559
761;1827;1825;1822;36;-4;250;557
766;1826;1826;1822;38;-4;256;558
771;1827;1821;1819;36;-6;250;557
776;1827;1824;1823;36;-8;252;557
789;1827;1808;1822;38;-4;254;558
796;1826;1825;1822;40;-6;254;556
801;1826;1824;1823;36;-4;248;557
806;1827;1825;1823;42;-10;254;560
811;1827;1825;1824;38;-4;254;556
816;1826;1825;1822;38;-8;256;558
821;1825;1826;1821;38;-6;252;559
826;1825;1825;1822;38;-8;252;556
831;1826;1824;1826;34;-8;250;556
836;1826;1825;1820;36;-8;252;557
841;1825;1825;1821;38;-4;254;556
846;1829;1825;1824;40;-8;250;557
851;1825;1826;1822;40;-4;254;558
856;1826;1825;1819;40;-8;252;557
861;1827;1823;1822;38;-6;256;557
873;1827;1825;1822;38;-4;254;557
876;1825;1824;1822;38;-6;248;557
881;1826;1817;1822;38;-8;254;557
886;1829;1825;1822;36;-8;258;555
891;1826;1826;1825;36;-6;256;557
896;1826;1826;1823;38;-4;250;559
901;1826;1826;1824;48;-4;254;558
906;1825;1822;1822;40;-8;252;557
911;1826;1825;1821;36;-4;248;557
916;1828;1824;1821;40;-4;254;557
921;1825;1825;1808;42;-6;254;556
926;1827;1827;1824;34;-8;252;558
931;1824;1826;1823;40;-6;250;558
936;1826;1824;1822;38;-6;252;557
941;1827;1825;1821;34;-8;248;555
952;1827;1808;1823;38;-8;252;543
956;1828;1826;1821;38;-6;250;556
961;1825;1824;1823;36;0;256;557
966;1828;1827;1822;38;-4;254;557
971;1827;1824;1823;36;-6;254;556
976;1824;1823;1822;36;-4;246;555
981;1826;1824;1822;42;-4;254;557
986;1826;1827;1823;40;-10;254;555
991;1826;1825;1822;36;-4;254;558
996;1825;1826;1824;40;0;248;558
1001;1825;1826;1824;40;-8;252;557
1020;1827;1823;1823;38;-6;254;557
1026;1825;1825;1821;42;-12;252;557
1031;1828;1835;1822;38;-6;252;557
1036;1827;1827;1822;34;0;246;555
1048;1826;1825;1823;38;-6;248;557
1051;1827;1807;1823;36;-4;254;556
1056;1826;1826;1821;38;-6;252;557
1061;1827;1826;1817;36;-4;256;556
1066;1828;1828;1822;38;-6;252;555
1071;1827;1826;1823;38;-4;254;557
1076;1827;1825;1823;36;-4;254;557
1081;1827;1826;1822;40;-6;256;557
1086;1826;1871;1827;36;-4;252;558
1091;1825;1825;1824;36;-10;252;559
1096;1826;1826;1823;38;0;256;555
1101;1825;1825;1823;40;-6;248;556
1106;1814;1824;1822;38;-8;252;556
1111;1826;1824;1823;36;0;250;556
1116;1827;1826;1824;32;-6;254;557
1128;1827;1825;1823;36;-8;258;558
1136;1826;1826;1825;44;-10;256;557
1141;1840;1825;1824;38;-8;256;559
1146;1831;1825;1823;40;-8;250;558
1151;1828;1829;1823;38;0;256;557
1156;1828;1824;1811;42;-10;254;555
1161;1827;1824;1824;34;-4;256;557
1166;1827;1824;1823;32;-6;256;558
1171;1828;1827;1822;40;0;252;557
1176;1826;1824;1824;36;-6;250;557
1181;1825;1826;1823;36;-6;256;557
1186;1826;1825;1825;34;-10;254;548
1191;1826;1825;1823;36;0;254;556
1196;1827;1827;1821;44;-6;252;564
1201;1827;1825;1820;36;-8;256;549
1213;1828;1826;1822;38;-10;252;557
1221;1825;1827;1824;40;0;252;556
1226;1826;1824;1821;40;-8;254;557
1231;1827;1824;1823;38;-6;250;557
1236;1827;1856;1815;38;0;254;557
1241;1827;1826;1822;34;-8;252;558
1246;1824;1825;1824;38;-8;252;559
1251;1826;1826;1823;36;-6;250;557
1256;1825;1823;1822;38;-4;254;558
1261;1828;1825;1821;36;-6;254;556
1266;1826;1826;1798;36;-8;252;557
1271;1828;1826;1826;38;-6;252;557
1276;1826;1825;1823;38;-10;252;558
1281;1828;1826;1823;40;-4;254;558
1286;1827;1824;1821;40;-10;254;559
1296;1828;1825;1824;36;-4;252;556
1301;1827;1824;1825;36;-6;252;557
1306;1829;1827;1821;36;-4;254;557
1311;1827;1826;1822;42;-12;252;556
1316;1827;1827;1821;36;0;256;560
1321;1827;1824;1823;40;-8;256;555
